societe;email;telephone;
42TEA;lionel@42tea.io;0629242786
MEDIANE SAS;direction@mediane.tm.fr;04 94 86 28 62
MEDIANE SYSTÈME;contact@medianesysteme.com;01 30 15 95 00
MEDIATIME;c.riviere@mediatime.fr;05 34 40 01 11
MEDINSOFT;president@medinsoft.com;06 20 99 17 11
Medissimo;odesnoux@medissimo.fr;
MEDUSIMS;emmanuel.klein@medusims.com;09 67 45 07 68
MEDYSYS;medysys@medysys.fr;01 69 33 24 30
MEETINEO;hello@meetineo.com;01 84 19 41 89
MEETNMAKE;hello@meetnmake.com;06713263091
MEETOBIZ;nathalie@meetobiz.com;
MEG ASSISTANCE;contact@groupemeg.com;
Melis Technology;contact@melistechnology.com;09 72 38 62 80
MEMSOFT;contact@memsoft.fr;01 55 31 75 85
MENTION SOLUTIONS;contact@mention.net;01 84 17 73 49
MERCURIA;mercuria@mercuria.fr;02 40 49 16 49
META4 FRANCE SAS;;01 41 11 74 00
METANEXT;contact@metanext.com;01 42 31 26 70
METAPOLIS;fabien.cauchi@metapolis.fr;
METEODYN;;02 40 71 05 05
METHYS SAS;rh@methys.com;01 42 38 10 62
METI LOGICIELS ET SERVICES;accueil@meti.fr;02 97 37 80 00
METRAWARE;info@metraware.com;04 90 07 77 21
METRIXWARE;contact@metrixware.com;01 55 69 32 20
MGEN TECHNOLOGIE;;01 45 15 00 00
MGI CONSULTANTS;aburg@mgi.fr;01 53 53 41 00
MGIT Group;contact@mgit-group.com;
MICRO FOCUS SAS;marketing.fr@microfocus.com;01 55 70 30 13
MICROPOLE;info@micropole.com;01 74 18 74 18
MICROSOFT;;
MICROSTRATEGY FRANCE;microstrategy-fr@microstrategy.com;01 47 55 56 00
MIDRANGE SOLUTIONS ET SERVICES;info@midrange.fr;01 34 40 95 00
MIJO;info@mijo-app.com;
MIKADOLABS;;
Milanamos sas;Info@milanamos.com;
MindSoft;contact@mindsoft.fr;09 50 49 98 97
MIPIH;mipihrecrutement@mipih.fr;03 22 33 57 00
MIPISE;contact@mipise.com;
Mirakl;cpotier@mirakl.com;09 72 30 30 05
MISTER BELL SOLUTIONS;rh@misterbell.com;01 80 18 26 64
MISTER BOOKING;david.glineur@misterbooking.com;04 91 65 17 56
Mister Harry;claude.poux@misterharry.fr;
MIXCOM;info@mixcom.fr;02 99 14 76 01
Mixdata;;
MIXXIT;renaud.laurent@mixxit.net;09 70 26 00 00
MOBEO GULLIVER.COM;mobeofl.medinsoft@mobeo.fr;04 91 11 88 71
MODIS FRANCE;;01 77 68 36 00
Mon Petit Panier;contact@mon-petit-panier.com;
MOODY'S GROUP FRANCE;;01 53 30 10 20
Moonsplit;info@moonsplit.fr;
MOOV'UP;pierre@moov-up.fr;0478948479
MOPSOS;contact@mopsos.fr;0683777823
MOSKITOS;bertrand.masson@moskitos.fr;
MOSOFT;contact@mosoft.fr;07-68-40-23-70
MOVE IN MED;contact@moveinmed.com;0954811719
MOVENTES;contact@moventes.com;02 72 01 38 28
MOVILITAS;;
MSI EXPERTS;contact@msi-experts.net;04 37 42 72 54
MY INTELLIGENCE AGENCY;jsboige@myia.org;0689156807
MY JOB GLASSES;;
MY LEAD CORNER;dominique@myleadcorner.com;03 62 27 99 40
My-Saam France;contact@my-saam.com;
MYJOBCOMPANY;gregory@myjobcompany.Com;
MyLittleTools;contact@mylittletools.net;01 39 64 12 18
MyPegase;contact@mypegase.fr;
MyRobotics;pa.bastian@myrobotics.fr;
NAELAN;commercial@ksl.fr;04 37 59 81 40
Naoned;contact@naoned.fr;02 85 52 17 21
Nartex;contact@nartex.fr;
NATURAL SOLUTIONS;contact@natural-solutions.eu;04 86 07 35 94
NATURSOFTWARE;contact@natursoftware.com;0149848595
NAVER LABS EUROPE;info@naverlabs.com;0476615050
NAVIGACOM;;01 47 28 84 33
NAVYA;contact@navya.tech;0469731710
NEEDEO;contact@needeo.com;
NeMo Health;drschmoll@orange.fr;
NEODOC;contact@neodoc.fr;04 42 52 24 20
NEOFACTO FRANCE;;01 84 06 98 06
NEOLIANS;;+33 (0)9 55 07 50 04
NEOMADES;contact@neomades.com;05 59 43 85 21
NEOPOST INDUSTRIE;;01 45 36 30 00
NEOTECH SOLUTIONS;;05 47 74 51 61
NEOTEEM;commercial@neoteem.fr;0781900230
NEOTYS;contact@neotys.com;04 42 18 08 30
NEOVACOM;;04 86 01 20 00
NESSI CONSULTING;;01 44 85 51 51
Nessium Consulting;contact@nessium.fr;
NESTWAVE;;01 45 81 71 38
NET-NG;info@net-ng.com;02 23 21 21 50
Netalis;contact@netalis.fr;09 88 25 88 25
NETDEV;bonjour@netdev.fr;0972564893
NetExplorer;contact@bsnet.fr;05 61 61 20 10
NETIA;v.puyau@netia.net;04 67 59 08 07
NETIKA SOLUTIONS IMMOBILIÈRES;eric.davy@netika.com;01 53 75 27 69
Netlight Consulting;info@netlight.com;
NETOPIE;contact@netopie.fr;01 76 21 02 50
Netsas;contact@netsas.com;01 77 13 17 51
NETSYSTEM DIGITAL;team@netsystem-digital.com;0442654450
NETSYSTEM SOLUTIONS;ocazzulo@netsystem.fr;
NETWAVE;contact@netwave.eu;05 61 00 71 50
NEUSTA SAS;info@neusta.ces.com;05 34 50 92 81
NEWBIZ CONSEIL;contact@newbiz-conseil.fr;04 37 45 44 55
NewQuest;administratif@newquest.fr;
NEXEDI;;09 51 08 50 55
NEXEO;info@nexeo.fr;01 40 82 79 00
NEXIAN;;04 78 83 87 09
NEXIO TECHNOLOGIES;admin@nexiogroup.com;05 61 44 02 47
NEXT PERFORMANCE;contact@nextperformance.com;01 48 04 53 21
NEXTERIA PACA;;04 42 93 34 05
NEXTOO;contact@nextoo.fr;03 28 04 52 80
NICE ROAD;contact@nice-road.com;
NIJI;contact@niji.fr;01 58 88 30 72
NIMALING;contact@nimaling.com;
NOLEDGE;contact@noledge.fr;01 30 44 27 18
NOMADVANTAGE;info@nomadvantage.com;
NOMINATION;nominations@nomination.fr;01 82 69 69 00
NORGATEC CONSULTING;contact@norgatec.com;03 20 66 98 88
NORMAND INFO;;01 49 90 86 00
NORMASYS;normasys@normasys.com;01 49 70 41 40
NOTOCORD SYSTEMS;information@notocord.com;01 34 80 00 00
Noury Solutions;hhadjdoula@nourysolutions.com;01 49 21 09 13
NOUVEAUX TERRITOIRES;contact@nouveauxterritoires.fr;04 86 26 01 81
NOVAGEN CONSEIL;contact@novagen.tech;01 72 75 72 51
NOVASANCO;contact@novasanco.fr;
NOVASYS INGENIERIE;pn@pactenovation.fr;01 45 29 06 06
NOVATIM;contact@novatim.com;01 44 62 81 00
NOVITACT;contact@novitact.com;
NOVOLI GROUP;contact@novoli-group.com;
NOVOLYZE;contact@novolyze.com;0983694213
NSI ADMR;nsi55@nsi-sas.com;02 41 48 58 00
NTH;contact@nth.fr;01 42 61 24 24
NUMESIA;contact@numesia.fr;
NUMVISION;contact@numvision.fr;04 27 85 13 30
NUTRITORING Medical Systems;admin@nutritoring.com;
NUXEO;contact@nuxeo.com;01 40 33 79 87
NWX;contact@nwx.fr;02 52 60 02 38
NXO;orlane.dohet@nextiraone.fr;01 72 29 90 00
OASISWORK;;02 85 52 04 52
Oberthur Technologies S.A;;
Occitech;contact@occitech.fr;05 61 40 54 92
OCEANE CONSULTING;;01 80 48 28 00
OCEANE SOFTWARE;service@oceane-software.fr;01 49 41 01 01
OCI 57;;
OCTAVE BIZ;info@octave.biz;08 05 96 03 60
ODALID;contact@odalid.com;09 72 12 90 98
ODASEVA TECHNOLOGIES;contact@odaseva.com;09 67 33 67 38
ODDIRIS;contact@oddiris.com;
ODSIS;contact@odsis.fr;02 51 80 05 33
OE-DIGITAL;contact@oe-digital.fr;09 83 68 22 11
OGMIOS DEVELOPPEMENT;contact@ogmios-dev.fr;
OGMYOS;contact@ogmyos.com;04 42 98 82 03
OH MY KEYS;contact@ohmykeys.com;0800103090
OLANEO CONSULTING;contact@olaneo.fr;+33 (0)1 47 17 64 40
OLFEO;contact@olfeo.com;09 69 39 09 99
OLYMPP;contact@olympp.fr;
OMEGA FINANCIAL SOLUTIONS;hotline@omega-financial-solutions.com;01 53 30 90 60
OMEGACUBE;gs@omegacube.fr;04 91 11 88 49
OMNICIEL;samuel.masson@omniciel.fr;04 91 33 75 68
Omniscol;contact@omniscol.com;
ON-X SA;info@on-x.com;01 40 99 14 14
ONE WEALTH PLACE;admin@onewealthplace.com;0184253040
ONEACCESS NETWORKS;contact@oneaccess-net.com;01 41 87 70 00
ONESYS;sandrine.levesque@onesys.fr;04 27 04 30 73
ONYSOS / DI SYSTEMES;contact@onysos.fr;04 74 09 41 41
ONYX INFORMATIQUE;onyx@onyxinfo.com;03 82 86 44 44
OOSHOT.COM;gutsy@ooshot.com;
OPAL-RT EUROPE;;01.75.60.24.89
OPEN;communication@open-groupe.com;01 71 06 31 28
OPEN BEE FRANCE;info@myopenbee.org;04 50 64 05 51
OPENCELL SOFTWARE;david.meyer@opencellsoft.com;
OpenClassrooms;accounts@openclassrooms.com;01 80 88 80 30
OPENDATASOFT;laeticia.raymand@opendatasoft.com;01 85 09 20 06
OPENHEALTH COMPANY;info@openhealth.fr;0297683700
OPENIP;commercial@openip.fr;0176710505
OPENMINDED CONSULTING;info@opmd.fr;01 83 62 51 79
OPENSCOP;contact@openscop.fr;0477369135
OPENSENSE;contact@opensense.fr;0185088883
OPENSPHERE;contact@opensphere.fr;02 62 52 57 27
OPERA CONSEIL;contact@opera-conseil.com;
OPEXMEDIA;contact@opexmedia.com;+33.770 677 293
OPQUAST;;05 56 40 14 02
OPTI-MIX;contact@opti-mix.fr;09 67 02 93 22
Optimistik;info@optimistik.fr;
Optoo;;
OPUSLINE;office@opusline.fr;01 80 49 02 00
ORACLE FRANCE;;01 57 60 20 20
ORANGE;;01 44 44 22 22
ORBILIO;gilles.cafiero@gcconseil.fr;04 91 11 87 50
ORCHESTRA;contacts@travelsoft.fr;01 44 71 30 20
ORENTIS;contact@orentis.com;08 10 10 00 40
ORION HEALTH;info@orionhealth.com;01 76 21 23 40
ORNESS;ghada.ajaka@orness.fr;01 49 49 09 09
ORONE FRANCE;rhoronefrance@orone.com;0235925965
ORSERY;contact@orsery.fr;
ORTENS;hakim.dib@ortens.com;01 84 16 43 76
Oscaro.com;;
OSIRES;osires@osires.fr;01 49 08 05 30
OSSIA CONSEIL;drh@ossia-conseil.com;01 82 28 43 20
Otherwise;hello@otherwise.fr;
OUICOM*;info@ouicom.fr;01 72 75 73 70
OURCOMPANY;contact@ourcompanyapp.com;0782072620
OUTSCALE;info@outscale.com;08 26 20 63 07
OVERKIZ;marketing@overkiz.com;0450107950
OXALYS TECHNOLOGIES;;01 46 99 18 28
Oxelar;contact@oxelar.com;
OXYA;fdebelloy@oxya.com;01 76 76 40 00
PAD PARTNERS ALLIANCES DEVELOPMENT;rene.causse@pa-development.com;08 73 76 47 12
PARAMETRIC TECHNOLOGY S.A.;;
parkego;contact@parkego.com;
PARSYS TELEMEDECINE;info@parsys.com;0160317040
PARTENOR;contact@partenorgroup.com;01 47 76 19 87
PARTITIO;web@partitio.com;05 34 60 42 84
PARTNER INFORMATIQUE;;03 85 21 02 00
PartnerWin;loicsimon@partnerwin.com;
PATH Finance SAS;contact@pathfinance.org;04 90 17 87 80
PayLead;contact@pipplet.com;
PAYPLUG;contact@payplug.fr;
PC PAL;info@pcpal.eu;01 69 53 46 20
PEAKS;peaksrh@peaks.fr;04 78 69 69 80
PEARL IT Consulting;;01 80 05 11 01
PEARLTREES;contact@pearltrees.net;
PEKA CONCEPT;contact@pkconcept.net;
PENTALOG FRANCE;commercial@pentalog.com;02 38 25 30 30
PER AUGUSTA;contact@per-angusta.com;04 26 28 27 18
PERCALL;contact@percall.fr;04 78 00 45 14
PERFECT COMMERCE FRANCE;;01 42 04 95 15
PERFORMANCE SYSTEMS;contact@perfsys.eu;09 63 51 58 89
PERFOWEB;marketing@oplead.com;01 42 18 52 50
Perspective(S);info@perspective-s.org;09 86 29 94 94
PHIDIAS;jm.micallef@phidias.fr;04 91 11 88 40
PHILES;;
PHOEBE;;01 85 41 03 00
PICA;;
PICTIME;contact@pictime.com;03 28 52 05 20
PICTO ACCESS - PICTO TRAVEL;contact@pictoaccess.fr;06 11 60 53 00
PICTURAE;;
PIPPLET;contact@pipplet.com;
Pitchizy;contact@pitchizy.com;
PITCHY;contact@pitchy.fr;0158201541
PIXAO;pixao@pixao.fr;01 30 05 15 60
PIXID SNC;contact@pixid.fr;01 41 16 34 00
PIXWAYS;info@pixways.com;
PKH INTERNATIONAL;info.contact@pkh-international.com;
PLANET BOURGOGNE;info@planetb.fr;03 80 73 11 12
PLANET CONSULTANT;;
PLATFORM.SH;info@commerceguys.com;01 40 09 30 00
PLICIWEB;stephane.t@pliciweb.com;04 91 11 87 94
Plussh;thibault.wasiolek@plussh.com;
Pocket Result;directioncommerciale@pocketresult.com;
POLE TES;;02 31 53 63 30
POLIGMA;stephane.boisson@poligma.com;06 63 64 95 59
PONANT TECHNOLOGIES;;0689932565
POOCHIE'S;contact@poochies.fr;01 82 15 36 12
POWO;contact@po-wo.com;06 11 52 42 56
PRAIRIAL;contact@prairial.com;06 47 81 38 73
PRAMANA;contact@pramana.fr;0980939228
PRAXIEL;praxiel@praxiel.com;01 42 40 35 35
PRESTASHOP;contact@prestashop.com;01 40 18 30 04
PrestR Informatique;contact@prestr-informatique.fr;
PREVIOO;hello@previoo.com;
PREZEVENT;contact@prezevent.com;09 72 55 11 33
PRIM'X TECHNOLOGIES;contact@primx.eu;04 26 68 70 02
PRIMIS;;01 41 43 10 72
PRIUM PARTNERS;contact@prium-partners.com;01 47 03 15 90
PROBANCE;info@probance.com;01 55 57 12 50
PROGIDYS;contact@progidys.fr;05 55 06 53 65
PROGIMAT;webmaster@progimat.fr;02 62 25 19 00
PROGINOV SA;;02 51 70 93 93
PROGITEAM;contact@ProGiTeam.fr;03 20 20 78 60
PROJECT7;;
PROJETS ET PERFORMANCE;contact@projets-performance.com;04 81 07 61 20
PROJEXION;contact@projexion.fr;03 66 72 53 37
PROLOGUE;info@prologue.fr;01 69 29 39 39
PROMEIS;contact@promeis.com;01 81 50 45 88
PROMETIL;contact@prometil.com;05 62 87 52 42
PROMYZE;contact@promyze.com;05 24 07 80 45
PROS;;08 11 70 78 78
PROSERVIA;info@proservia.fr;02 28 01 52 52
PROSIM SA;info@prosim.net;05 62 88 24 30
Prospective DATA;info@prospectivedata.io;
PROSYS;communication@prosys.fr;01 41 23 27 77
PROSYST;prosyst-seclin@prosyst.fr;03 20 90 43 33
PROWEBCE;compta@prowebce.com;01 70 15 09 50
PROXIAD;;01 44 83 83 70
PROXILOG;info@proxilog.com;03 86 42 77 45
PROXILOOP;hello@proxiloop.com;0612322433
PROXIVAL;contact@proxival.com;03 71 77 00 26
PROXXITY;phcapy@proxxity.com;0660559575
PRYLOS;contact@prylos.com;01 47 03 61 80
PRYSM SOFTWARE;mail@prysm.fr;04 42 97 14 97
PSYLIB;erictanneau2@gmail.com;0671618519
PTV LOXANE;info.fr@ptvgroup.com;01 30 75 75 75
PUISSANCE NET - GROUPE AFG;contact@groupeafg.com;03 20 98 08 43
PULSAR DS;sebastien.boivin@gmail.com;06 52 94 99 78
PW GROUP;;01 49 52 00 47
Pydio;charles@pydio.com;01 76 36 10 75
QALYO;laurent.goldstein@qalyo.com;
Qarnot computing;contact@qarnot-computing.com;
QENVI;;04 92 92 07 74
qgandco;sb@qgandco.fr;
QONTO;;
QOSMOS TECH;contact@qosmos.com;01 78 09 14 40
QUALIAC;info@qualiac.com;04 71 64 60 26
QUANTHOUSE;;01 73 02 32 11
QUANTIC SA;lcourcelle@quantic.fr;01 85 33 01 30
QUANTUM ONE;info@quantum.one;01 42 65 21 01
QUATRAIN TECHNOLOGIES;contact@quatrain.com;04 90 80 40 40
QUINTILESIMS;;01 41 35 10 00
QUORUM;info@quorum-impact.com;
QUOTIUM TECHNOLOGIES;mail@technologies.eu;01 49 04 70 70
QWANT;;
R-COST;luc.bourgain@rcost.fr;05 61 16 80 41
RADIOLINE;contact@radioline.com;01 47 38 73 90
RBS ENTREPRISES;c.rochat@rbs-entreprises.mc;06 17 72 02 12
REAL CONSULTING DATA;contact@realconsultingdata.com;0972888039
RECOMMERCE SOLUTIONS;contact@recommerce.com;01 57 21 71 52
RECOVEO;info@recoveo.com;04 77 71 75 61
RED BEND SOFTWARE;;01 39 44 74 00
RED TECHNOLOGIES;info@redtechnologies.fr;01 84 16 88 32
REDHAT FRANCE;france@redhat.com;01 41 91 23 23
REF ON DEMAND;contact@refondemand.com;01 72 74 60 60
REFEA;oui@refea.fr;
REFLUENCE;refluence.compta@gmail.com;
REGARDS;contact@groupe-regards.com;02 99 83 43 82
RELAIS D'ENTREPRISES;contact@relais-entreprises.fr;0682030144
RELEX;;0359560631
Report one;contact@report-one.fr;01 80 96 00 00
RESEAU CONCEPT;contact@reseau-concept.com;03 80 28 82 30
RESOCOM MTM;gestion@resocom.com;0969321377
RÉSOLUTION INFORMATIQUE;s.reclus@resolution-informatique.com;01 42 75 00 00
RESOPHARMA;;08 20 20 12 29
RETARUS FRANCE;info@fr.retarus.com;01 70 81 55 55
REUNIVEILLE;contact@reuniveille.com;
REVO FRANCE;info@revofrance.fr;0186956350
RézoSocial;partenariat@rezosocial.org;
RFI INFORMATIQUE;rfi.informatique@yoni.fr;04 76 84 25 84
RHAPSODIES CONSEIL;contact@rhapsodies.eu;0144701103
RHENATIC;;03 89 32 76 22
RIMEO;contact@rimeo.fr;
RITMX SAS;contact@ritmx.com;01 53 25 73 51
RivieraWare;contact@rivieraware.com;04 22 13 20 08
RivieraWaves groupe CEVA;info@ceva-dsp.com;04 83 76 06 00
RIVOLI DIGITAL;didier.serrat@rivolidigital.com;
RLE;contact@rle.fr;04 72 53 66 66
RODRIGUE;info@rodrigue.fr;01 39 95 02 32
ROUX INTERVENTIONS;ri.adm@sarl-roux.fr;
RSI;;04 76 52 46 00
RWRI;robert.willer@rwri.fr;0673371576
S2F NETWORK;contact@s2fnetwork.fr;0235226424
S2L Consulting;;
SA ARCHIMED;m.zidi@archimed.fr;03 20 13 10 60
SAAGIE;marie@saagie.com;02 72 88 31 69
SAASWEDO;contact@saaswedo.com;01 42 21 85 85
SAFELOGY;contact@safelogy.com;04 91 11 88 26
SALESFORCE.COM FRANCE;;01 72 10 94 00
SANTECh;clorieux@santech.fr;01 53 46 25 77
SAP FRANCE;;01 46 17 70 00
SAP LABS FRANCE SAS;;04 92 28 62 00
SAPAIG;commercial@sapaig.fr;03 87 73 04 48
SAPIENDO;contact@sapiendo.fr;01 40 37 04 46
Sapiens Group;dir@sapiensgroup.fr;01 75 84 84 84
SARL A2EM;a2em@austral.re;02 62 38 38 29
SARL BMIA;contact@bmia.fr;05 56 39 69 54
SAS GID;contact@gid.fr;03 27 95 86 00
SAS INSTITUTE;comsas@fra.sas.com;01 60 62 11 11
SAS KALLISTE;contact@sas-kalliste.fr;01 84 19 14 59
SATELLIZ;contact@satelliz.com;01 30 15 78 24
SAVANE CONSULTING GROUP;contact@savane-consulting.com;01 58 60 33 70
SB ALLIANCE INFORMATIQUE;;02 33 06 35 00
SBT;ftarpin@sbt.fr;04 78 89 75 40
SCALAGENT DISTRIBUTED TECHNOLOGIES SA;contact@scalagent.com;04 76 29 79 81
SCALIAN;;05 61 00 79 79
SCALITY;sales@scality.com;01 78 09 82 70
SCASSI;contact@scassi.com;05 61 17 08 54
SCC;;01 41 91 33 33
SCHAEFFER PRODUCTIQUE;direction@schaeffer-productique.com;03 89 57 08 40
SCIFORMA INTERNATIONAL;international@sciforma.com;01 56 54 83 00
SEA TPI;contact@seatpi.fr;04 42 98 11 30
SecludIT;info@secludit.com;04 89 86 69 18
SECODIF;info@secodif.com;01 40 33 87 44
SECURINFOR;contact@securinfor.fr;0141735600
SEEing;contact@seeing.fr;01 44 88 58 56
SELLIGENT FRANCE;info.fr@selligent.com;01 44 68 10 70
SELLSY;contact@sellsy.com;08 11 03 38 88
SEMAWEB;info@semaweb.fr;04 86 65 26 22
SENSING LABS;contact@sensing-labs.com;
SENSIO LABS;fabien.potencier@sensio.com;01 40 99 80 80
SENTINELLES DU WEB;contact@sentinellesduweb.com;
SERENISYS;contact@serenisys.com;01 76 77 27 40
ServeU;contact@serveu.fr;
SERVICEPILOT TECHNOLOGIES;info@servicepilot.com;02 40 60 13 30
SFEIR;;01 41 38 52 00
SFI;sfi@sfi.fr;0477911313
Shapter SAS;team@shapter.com;
Shopmium;contact@shopmium.com;09 77 19 96 79
SI-LOGISM;;01 45 75 63 48
SICONSULT;c.lubat@siconsult.fr;05 31 60 20 35
SIDEXA;info@sidexa.fr;01 41 13 31 33
SIEMENS INDUSTRY SOFTWARE;;01 71 22 53 09
SIG CARTO SERVICES;sigcartoservices@gmail.com;
SIGMA INFORMATIQUE;dirco@sigma.fr;02 40 37 14 00
SIHR+MAPS;contact@hrmaps.eu.com;08 99 37 77 26
SII;drh-siege@sii.fr;01 42 84 82 22
SILEANE;;
SILENT SPACE;contact@orfea-acoustique.com;05 55 86 34 50
SILICOM;;01 39 30 46 00
SIMPLICITE SOFTWARE;contact@simplicite.fr;01 45 23 10 69
SIMPLON PROD;prod@simplon.co;
Simply move;;
SINALYS;contact@sinalys.com;01 40 59 00 97
SINAPSE PRINT SIMULATORS;;01 69 35 54 00
SINERGIE;;01 34 79 70 22
SINETIS;jp.regnault@sinetis.fr;04 91 22 55 65
SIPLEO;contact@sipleo.com;04 94 08 65 45
SIR FULL SERVICE;contact@sirfullservice.com;03 88 18 34 67
SISTEMA STRATEGY;contact@sistema-strategy.com;04 78 90 85 72
SIVAN FRANCE;nadege.millet@sivan-innovation.com;0243783309
SIVECO GROUP;contact@siveco.com;01 30 45 98 80
SiVIEW;laure@siview.fr;
SIX-AXE GROUPE;contact@six-axe.fr;01 30 15 44 44
Skillsolutions Software;contact@skillsolutions-software.com;
SKILZ;contact@skilz.fr;03 70 42 10 10
Slickteam;contact@slickteam.fr;
Smart Trade Technologies;;04 42 90 03 97
SMARTESTING;contact@smartesting.com;07 82 58 01 12
SMARTPANDA NETWORK;fabrice.bonnet@smartpanda.com;
SMARTPOINT;contact@smartpoint.fr;01 83 64 27 52
SMARTWARE;contact@smartware.fr;01 64 86 25 25
SMILE;contact@smile.fr;01 41 40 11 00
SMSI;issy@smsi.fr;01 46 48 30 25
SNYPE;contact@snype-consulting.com;09 53 13 49 07
SOASY;contact@soasy.fr;0603855005
SOAT SA;contact@soat.fr;01 44 75 42 55
Social Dynamite;contact@social-dynamite.com;01 77 45 53 86
SOCIALSHAKER;compta@comshaker.com;
SOCLOZ;officemanager@closetome.fr;
SODIFRANCE;;02 99 23 46 00
SOFTBANK ROBOTICS EUROPE;contact@aldebaran-robotics.com;01 77 37 17 52
sOftbridge technology;infos@softbridge.fr;
SOFTEAM CADEXTAN;;01 53 96 84 00
SOFTWARE AG;marketing@softwareag.fr;01 49 87 43 00
SOFTWAY MÉDICAL;infocom@softwaymedical.fr;04 88 71 13 00
SOGEFI INGÉNIERIE GÉOMATIQUE;;05 63 04 45 25
SOGETI FRANCE;;01 58 44 55 66
SOLENT;pbenon@solent.fr;01 41 37 92 90
SOLICIS;contact@solicis.fr;0545606193
SOLOCAL GROUP;contact.groupe@pagesjaunes.fr;01 46 23 30 00
SOLUCIA;contact@solucia.fr;03 20 12 44 90
Solusquare;;04 97 21 90 00
SOMEI;accueil@somei.fr;04 91 57 62 51
SOMONE;adv@somone.fr;01 84 23 04 71
SOPRA STERIA GROUP;contact-corp@soprasteria.com;01 40 67 29 29
SORA LOGICIELS;;
SPARKUP;francois@sparkup.fr;
SPC CONSULTANTS;spc@spcconsultants.com;04 72 67 12 34
SPHERE;hello@sphere.cool;09 52 57 89 56
SPHINX MANAGER;sphinx@sphinx-manager.com;04 91 52 08 66
SPI SOFTWARE;jmlacombe@spi-software.com;05 65 76 51 00
SPIE ICS;;01 41 46 41 46
SPIR OPS;axel.buendia@spirops.com;0624344791
SPOTMYFLAT;eric.valat@spotmyflat.com;
SQLI;info@sqli.com;01 55 93 26 00
SQUORING TECHNOLOGIES;contact@squoring.com;05 81 34 63 97
SRA SUD OUEST;remi.tremoulet@groupe-sra.fr;05 67 31 31 50
SRC SOLUTION;;
Stabilis;contact@stabilis.fr;
STAFFMAN;contact@staffman.fr;06 63 27 27 03
STAGIAIRES SANS FRONTIERES - SSF;contact@stagiairessansfrontieres.com;
START CORPORATION;startcorpo@mail.com;0630449742
STEEMIND;c.trifanescu@steemind.com;04 67 16 19 88
STET;business@stet.eu;01 49 00 23 00
STIMUL'ACTIV;contact@stimulactiv.com;09 71 00 03 72
STOR SOLUTIONS;;02 62 48 36 36
STRATAGGEM;contact@strataggem.com;
STRATECHNO;contact@stratechno.com;
STRATEGIES;e.ballagny@cadwin.com;01 41 73 04 80
STRATON IT;contact@straton-it.fr;03 66 72 10 84
STREAM INTERNATIONAL INC.;velizyinfo@stream.com;01 30 67 10 00
STUDY ADVISOR;leo.sounigo@studyquizz.fr;0176546213
SUBSCRIPTION TECH;contact@subscription.tech;+33 (0)1 76 44 02 62
SULLY GROUP;sully@sully-group.fr;04 37 23 83 00
SUNGARD AVAILABILTY SERVICES FRANCE SA;sas.fr.info@sungard.com;01 64 62 86 00
SUNTSEU;;01 80 41 00 31
SUPRALOG;info@supralog.com;04 93 74 66 66
Swapcard;info@swapcard.com;
SYD;contact@syd.fr;02 51 13 51 13
SYDEC S.A.;kdrouin@sydec.fr;03 90 20 66 20
SYKIO;contact-paris@sykio.fr;01 84 21 10 10
SYLOB SAS;info@sylob.com;05 63 53 08 18
SYMPHONY EYC FRANCE;;01 46 48 28 00
SYNE SAS;infos@syne-services.fr;
SYNECHRON;contact@teamtrade.com;01 42 65 90 90
SYNERGIE CONSEIL TECHNOLOGIE;;04 42 65 43 88
SYNERGY;contact@synergy.fr;03 20 67 03 05
SYNERTIC;;04 84 25 16 00
SYNERTRADE;;01 56 98 29 29
SYNEVOP SAS;synevop@synevop.com;0628099755
Synflow;info@synflow.com;02 99 12 79 02
SYNHACK;contact@synhack.fr;
SYNTEC NUMÉRIQUE;communication@syntec-numerique.fr;
SYNTHESE VIDEO;contact@3dswipe.com;03 80 73 41 58
SYRAH INFORMATIQUE;direction@syrah.fr;0491726115
SYSALIA;GESTION@SYSALIA.COM;
SYSDREAM;info@sysdream.com;
SYSGO;info@sysgo.fr;01 30 09 12 70
SYSPERTEC COMMUNICATION;cominfo@syspertec.com;01 46 02 60 42
SYSSCALE;contact@sysscale.com;
SYSSTREAMING;syntec-numerique.fr@sysstreaming.com;0616321703
SYSTELEO;contact@systeleo.fr;
SYSTEMATIC;contact@systematic-paris-region.org;01 69 08 06 85
SYSTEMX;info@system-x.fr;08 10 66 44 76
SYSTRAN;;01 44 82 49 00
T&BS : TRANSFORMATION AND BUSINESS SUCCESS;;
T-SYSTEMS FRANCE;info@t-systems.fr;01 82 30 10 10
Tabhotel;sales@tabhotel.fr;
TALAN;webmaster@talan.fr;01 42 97 96 96
TALENTIA SOFTWARE FRANCE;Info@talentia-software.com;01 41 05 76 00
TALENTPLUG;;09 50 14 22 34
TALENTSOFT;contact-ts@talensoft.com;01 41 86 05 60
TALK4;contact@talk4.pro;0612575316
TANCO & CO;contact@tanco.fr;
TARGET2SELL;contact@target2sell.com;01 57 40 31 01
TAS FRANCE;;
TATA CONSULTANCY SERVICES;;01 77 68 30 30
TDF;contact.operateur@tdf.fr;
TEACH ON MARS;contact@teachonmars.com;04 89 86 69 79
TEAZIT;e.colombain@teazit.fr;0664035746
TECH ADVANTAGE;contact@tech-advantage.com;01 56 84 02 00
TECH COM - COMPUBASE;jmandard@compubase.net;01 69 18 34 34
